ENSG00000182511	Mean arterial pressure x alcohol consumption interaction (2df test)	29912962
ENSG00000182511	Schizophrenia	30285260
ENSG00000182511	Systolic blood pressure x alcohol consumption interaction (2df test)	29912962
ENSG00000182511	Diastolic blood pressure	21909115,27618452,27841878,28739976
ENSG00000182511	Pulse pressure x alcohol consumption interaction (2df test)	29912962
ENSG00000182511	Coronary artery disease	29212778,30104761
ENSG00000182511	Blood pressure	21909110
ENSG00000182511	Medication use (calcium channel blockers)	31015401
ENSG00000182511	Hair color	30595370
ENSG00000182511	Cardiovascular disease	30595370
ENSG00000182511	Myocardial infarction	26343387
ENSG00000182511	Birth weight	27680694,31043758,31097437
ENSG00000182511	Coffee consumption	31046077
ENSG00000182511	Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)	29912962
ENSG00000182511	Male-pattern baldness	30573740
ENSG00000182511	Medication use (agents acting on the renin-angiotensin system)	31015401
ENSG00000182511	Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	28714975
ENSG00000182511	Pulse pressure	27841878,30578418
ENSG00000182511	Offspring birth weight	31043758
ENSG00000182511	Medication use (diuretics)	31015401
ENSG00000182511	Diastolic blood pressure (cigarette smoking interaction)	29455858
ENSG00000182511	Diastolic blood pressure x alcohol consumption interaction (2df test)	29912962
ENSG00000182511	Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	29912962
ENSG00000182511	Systolic blood pressure	21909115,26390057,27618452,27841878,28135244,28739976,30578418,30595370
ENSG00000182511	Medication use (beta blocking agents)	31015401
ENSG00000182511	Hypertension	21909115,31879980
ENSG00000182511	White blood cell count	30595370
ENSG00000182511	Systolic blood pressure (cigarette smoking interaction)	29455858
ENSG00000182511	Insomnia	30804565
ENSG00000163602	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	28448500
ENSG00000163602	Height	20881960,25282103
ENSG00000163602	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	28443625
ENSG00000163602	Waist circumference adjusted for body mass index	25673412,28448500
ENSG00000163602	Waist circumference adjusted for BMI in active individuals	28448500
ENSG00000029639	Waist-to-hip ratio adjusted for BMI	28552196
ENSG00000029639	Waist-hip ratio	28552196
ENSG00000133135	Alcoholic chronic pancreatitis	28754779
ENSG00000133135	Creatinine levels	31015462
ENSG00000133135	Estimated glomerular filtration rate	31015462
ENSG00000136531	Menarche (age at onset)	30595370
ENSG00000136531	Factor VII activity	30642921
ENSG00000136531	Febrile seizures (MMR vaccine-related)	25344690
ENSG00000136531	Febrile seizures	25344690
ENSG00000136531	Bipolar disorder	31043756
ENSG00000136531	Educational attainment (years of education)	30038396
ENSG00000136531	Highest math class taken (MTAG)	30038396
ENSG00000136531	Body mass index	30239722,30595370,31669095
ENSG00000136531	General cognitive ability	29844566
ENSG00000136531	Age of smoking initiation (MTAG)	30643251
ENSG00000136531	Cigarettes smoked per day (MTAG)	30643251
ENSG00000136531	Parkinson's disease	28892059
ENSG00000136531	Educational attainment (MTAG)	30038396
ENSG00000136531	Lifetime smoking index	31689377
ENSG00000136531	Smoking initiation (ever regular vs never regular) (MTAG)	30643251
ENSG00000136531	Refractive error	32231278
ENSG00000136531	Cognitive performance (MTAG)	30038396
